order_id,customer_id,product_id,campaign_id,order_date,order_total_cad,discount_amount_cad,quantity,category,order_status,payment_method,province,city,session_duration_minutes,is_repeat_customer,delivery_days,return_reason
1738931,905934,57332,NULL,2025-04-28,184.309997558594,0,2,Household,Returned,Credit Card,QC,Montreal,11.6000003814697,1,NULL,Changed mind
1740761,856086,81223,NULL,2024-06-01,123.410003662109,0,1,Household,Completed,Interac e-Transfer,QC,Gatineau,14.5,1,13,NULL
1740912,362778,57441,NULL,2025-08-19,203.470001220703,0,4,Groceries,Returned,NULL,QC,Gatineau,39.7999992370605,0,NULL,Not as described
1741921,533020,68501,NULL,2023-10-19,109.550003051758,0,1,Household,Completed,NULL,ON,Toronto,22.6000003814697,1,12,NULL
1741966,532067,53372,8473,2023-11-16,50.5200004577637,0,1,Electronics,Cancelled,Debit Card,BC,Kelowna,9.60000038146973,1,NULL,NULL
1742156,431737,27115,NULL,2025-09-14,92,0,2,Sports & Outdoors,Completed,Google Pay,ON,Mississauga,40.7000007629395,1,5,NULL
1743013,171849,98293,NULL,2021-09-29,39,0,6,Groceries,Completed,Credit Card,ON,Brampton,16.7999992370605,1,10,NULL
1744769,571778,95152,NULL,2025-10-04,90.6699981689453,0,5,Electronics,Returned,Credit Card,BC,Vancouver,15,1,NULL,Changed mind
1744964,900190,41669,NULL,2025-11-22,114.389999389648,0,1,Groceries,Completed,Interac e-Transfer,SK,Saskatoon,35,1,7,NULL
1746034,565504,90087,NULL,2024-08-21,165.970001220703,0,3,Clothing,Cancelled,PayPal,QC,Quebec City,19.8999996185303,1,NULL,NULL
1746111,250069,49392,7543,2023-05-11,33.689998626709,4.8600001335144,1,Groceries,Cancelled,Credit Card,QC,Montreal,26.5,0,NULL,NULL
1746523,662761,66021,NULL,2024-11-02,95.5800018310547,0,2,Groceries,Returned,Credit Card,ON,Ottawa,24.2000007629395,1,NULL,Wrong item
1746566,636265,10132,NULL,2025-09-27,55.5800018310547,0,2,Office Supplies,Returned,PayPal,QC,Montreal,26.1000003814697,1,NULL,NULL
1746750,824042,35272,NULL,2025-06-10,20.6299991607666,0,3,Clothing,Completed,Debit Card,ON,Mississauga,3,1,11,NULL
1748447,402020,35333,NULL,2024-12-18,154.470001220703,0,1,Electronics,Processing,Credit Card,ON,Mississauga,27.2000007629395,1,NULL,NULL
1750988,883618,97860,NULL,2025-05-12,113.5,0,2,Household,Completed,Apple Pay,ON,Hamilton,1.89999997615814,1,10,NULL
1751029,953025,65594,NULL,2025-12-22,68.5699996948242,0,1,Household,Completed,Debit Card,BC,Abbotsford,11.8999996185303,1,9,NULL
1752368,439498,56763,2784,2025-05-16,125.059997558594,21.0499992370605,4,Household,Returned,Credit Card,QC,Quebec City,NULL,0,NULL,Changed mind
1754339,296412,77295,8335,2024-11-19,57.8699989318848,0,2,Groceries,Completed,Google Pay,ON,London,13.5,0,14,NULL
1756182,596171,74894,NULL,2024-02-13,109.690002441406,0,2,Household,Returned,Credit Card,BC,Kelowna,29.5,1,NULL,Not as described
1756410,321494,56124,7984,2022-11-13,138.449996948242,0,3,Groceries,Completed,NULL,BC,Vancouver,17.2999992370605,1,2,NULL
1758131,711878,95739,NULL,2025-01-21,41.7299995422363,0,2,Clothing,Completed,Credit Card,ON,Hamilton,28.8999996185303,1,NULL,NULL
1759172,580547,79632,NULL,2025-07-28,70.25,0,1,Sports & Outdoors,Returned,Debit Card,QC,Montreal,13,1,NULL,Wrong item
1761246,587575,96476,NULL,2025-07-14,164.479995727539,0,1,Health & Beauty,Returned,Credit Card,QC,Laval,14.6000003814697,1,NULL,Changed mind
1761801,121869,16891,NULL,2024-07-09,202.520004272461,0,3,Groceries,Returned,Debit Card,QC,Gatineau,35.2999992370605,1,NULL,Defective
1762251,619536,65286,5706,2024-07-22,40.3199996948242,0,2,Electronics,Returned,Credit card,QC,Laval,8.10000038146973,1,NULL,Changed mind
1762666,725380,95438,NULL,2025-09-09,192.050003051758,0,3,Electronics,Completed,Credit Card,QC,Laval,14.1999998092651,1,14,NULL
1763029,154714,45411,NULL,2025-06-10,42.310001373291,0,4,Health & Beauty,Completed,Interac e-Transfer,QC,Laval,38.7999992370605,1,1,NULL
1764201,402020,36543,NULL,2024-03-12,92.3600006103516,0,4,Health & Beauty,Completed,Credit Card,ON,Mississauga,15.3000001907349,1,6,NULL
1764371,693419,60379,NULL,2024-12-19,70.1900024414063,NULL,1,Health & Beauty,Returned,PayPal,ON,Hamilton,27.8999996185303,1,NULL,NULL
1765745,884256,16630,NULL,2025-06-08,126.809997558594,0,3,Household,Completed,Interac e-Transfer,QC,Montreal,18.3999996185303,1,7,NULL
1766749,573962,50695,NULL,2021-10-11,94.629997253418,0,2,Clothing,Returned,Debit Card,QC,Montreal,20.1000003814697,1,NULL,Not as described
1766881,691912,97704,NULL,2025-01-04,250.320007324219,0,1,Health & Beauty,Processing,PayPal,AB,Lethbridge,16,1,NULL,NULL
1768794,245622,45899,NULL,2025-03-10,166.429992675781,0,2,Sports & Outdoors,Returned,Credit Card,ON,Ottawa,9.30000019073486,1,NULL,Not as described
1770650,624108,77779,NULL,2024-03-04,52.8499984741211,0,2,Groceries,Processing,Credit Card,QC,Quebec City,42.0999984741211,1,NULL,NULL
1771298,219565,69366,NULL,2025-03-02,27.2399997711182,0,3,Sports & Outdoors,Completed,Credit Card,QC,Quebec City,26.7000007629395,1,NULL,NULL
1775794,153849,24265,NULL,2022-12-25,146.460006713867,0,4,Groceries,Completed,Debit Card,QC,Quebec City,40.7000007629395,1,NULL,NULL
1777548,182582,46431,3161,2022-12-02,56.9900016784668,0,6,Health & Beauty,Completed,Credit Card,QC,Montreal,30.3999996185303,1,7,NULL
1778233,621530,20054,5922,2025-02-22,69.9000015258789,0,4,Clothing,Completed,Interac e-Transfer,PE,Charlottetown,16.6000003814697,1,7,NULL
1778251,802448,89202,NULL,2024-02-21,217.490005493164,0,1,Groceries,Completed,NULL,ON,Brampton,44,1,1,NULL
1778871,189814,93383,7861,2022-11-27,15.4799995422363,0,1,Health & Beauty,Returned,Credit Card,BC,Richmond,2.59999990463257,1,NULL,Changed mind
1779183,207473,17392,4956,2023-09-03,181.490005493164,32.2400016784668,2,Electronics,Cancelled,Debit Card,QC,Quebec City,33.2999992370605,1,NULL,NULL
1783102,899929,17392,5032,2025-08-27,106.470001220703,12.710000038147,3,Electronics,Completed,Credit Card,QC,Laval,36.0999984741211,1,2,NULL
1783239,154118,63040,NULL,2025-09-26,170.089996337891,0,1,Groceries,Returned,Credit Card,QC,Montreal,9.39999961853027,1,NULL,Not as described
1784532,461888,95438,NULL,2025-08-29,189.179992675781,0,3,Electronics,Completed,PayPal,ON,Brampton,26.2000007629395,1,14,NULL
1786464,534303,49392,NULL,2024-01-20,63.9700012207031,0,1,Groceries,Returned,Interac e-Transfer,QC,Laval,27.2999992370605,1,NULL,NULL
1786800,882033,62714,4233,2021-12-01,111.819999694824,NULL,2,Groceries,Returned,Debit Card,QC,Montreal,14.6000003814697,1,NULL,Defective
1788784,192337,96476,NULL,2024-12-02,127.639999389648,0,3,Health & Beauty,Completed,Apple Pay,ON,Markham,16.8999996185303,0,13,NULL
1789668,748458,38483,6358,2025-06-19,39.8600006103516,4.07999992370605,4,Groceries,Cancelled,Interac e-Transfer,BC,Surrey,16.7999992370605,1,NULL,NULL
