order_id,customer_id,product_id,campaign_id,order_date,order_total_cad,discount_amount_cad,quantity,category,order_status,payment_method,province,city,session_duration_minutes,is_repeat_customer,delivery_days,return_reason
3161704,810526,34314,,2025-10-26,21.83,0.0,2,Groceries,Processing,Debit Card,ON,Toronto,12.3,1,,
6539431,877572,30134,,2023-12-13,147.12,0.0,5,Groceries,Completed,Credit Card,ON,Markham,31.8,1,2.0,
6768735,652530,62398,9317.0,2024-02-09,50.01,,3,Groceries,Completed,Google Pay,ON,Toronto,31.9,1,3.0,
7268157,156213,93383,,2025-12-29,174.21,0.0,2,Health & Beauty,Completed,Debit Card,ON,Toronto,33.7,1,10.0,
8074418,974244,75373,,2023-08-24,144.58,0.0,2,Groceries,Completed,Credit Card,QC,Montreal,21.7,1,9.0,
9392268,642717,16630,7230.0,2025-05-22,118.43,13.02,1,Household,Cancelled,PayPal,BC,Abbotsford,9.0,1,,
1410895,502630,97141,5462.0,2024-01-14,107.04,12.58,3,Health & Beauty,Returned,,BC,Richmond,15.1,1,,Not as described
5505271,411120,39952,,2025-07-29,97.57,0.0,1,Health & Beauty,return,Credit Card,QC,Quebec City,7.6,1,,Wrong item
8119368,409222,58486,,2025-04-28,51.03,0.0,2,Groceries,Completed,Credit Card,BC,Abbotsford,4.3,1,7.0,
1222511,368690,73909,,2025-08-07,229.67,0.0,1,Groceries,Returned,CREDIT CARD,QC,Quebec City,38.3,1,,Defective
1024094,179688,59231,,2025-11-25,125.54,0.0,5,Clothing,Completed,Apple Pay,ON,Mississauga,29.5,1,10.0,
2743849,189083,46321,,2023-05-03,23.9,0.0,5,Groceries,Processing,Google Pay,ON,Toronto,40.7,1,,
6695201,162894,25810,,2025-09-17,218.3,0.0,1,Electronics,Completed,Debit Card,BC,Vancouver,9.1,1,13.0,
2865954,562462,49293,,2025-12-28,55.17,0.0,4,Clothing,Completed,Credit Card,ON,London,36.5,0,5.0,
3142680,182627,85897,2526.0,2024-10-08,153.05,25.44,3,Sports & Outdoors,Returned,Credit Card,ON,London,27.0,1,,Not as described
4541064,228594,49158,,2025-02-10,79.12,0.0,2,Household,Completed,Debit Card,QC,Quebec City,4.3,1,2.0,
7378365,125990,96476,9700.0,2022-04-14,59.38,0.0,6,Health & Beauty,Completed,Credit Card,QC,Laval,31.3,1,7.0,
3555929,565471,77779,,2024-02-09,189.01,0.0,1,Groceries,Returned,Credit Card,BC,Burnaby,38.7,1,,Not as described
5583510,678043,65286,,2024-12-08,93.43,0.0,2,Electronics,Returned,Debit Card,QC,Gatineau,7.4,1,,Defective
4141244,237414,78049,,2024-12-04,111.73,0.0,1,Groceries,Processing,Credit Card,QC,Quebec City,35.6,1,,
5922388,726410,51376,,2025-11-19,37.77,0.0,3,Groceries,Completed,PayPal,BC,Burnaby,19.7,0,2.0,
5788942,626690,17000,,2024-02-27,134.04,0.0,3,Electronics,Cancelled,Credit Card,QC,Montreal,39.9,1,,
9111723,644559,32361,8572.0,2022-10-23,59.54,0.0,3,Electronics,RETURNED,debit,QC,Gatineau,40.5,1,,Wrong item
1623620,752878,40748,,2025-05-19,-74.05,0.0,4,Toys & Games,Completed,CC,MB,Brandon,7.6,1,7.0,
1078329,457455,37939,,2024-02-26,67.91,0.0,2,Household,Returned,Credit Card,NL,St. Johns,28.4,1,,Changed mind
3271965,154909,43467,,2025-10-17,41.67,0.0,1,Groceries,Returned,Debit Card,AB,Edmonton,43.0,1,,Defective
6787363,389688,20115,,2022-09-24,100.23,0.0,6,Toys & Games,Completed,Apple Pay,ON,Markham,17.5,1,14.0,
2947653,535673,34550,8335.0,2024-12-07,38.41,3.31,3,Clothing,Processing,Debit Card,AB,Edmonton,,1,,
1667503,156213,47232,,2025-04-23,209.45,0.0,1,Household,Completed,Credit Card,ON,Toronto,23.3,1,6.0,
7595903,994787,27039,7785.0,2025-08-27,113.37,0.0,1,Groceries,returned,Interac e-Transfer,BC,Burnaby,38.8,1,,Defective
8524120,905077,74832,,2024-12-30,67.82,0.0,2,Groceries,Cancelled,Credit Card,BC,Kelowna,40.8,1,,
3331704,851759,19336,4956.0,2023-09-18,187.71,12.76,2,Household,Returned,PayPal,SK,Regina,17.5,1,,Wrong item
6171832,539122,39793,2249.0,2025-01-27,83.46,0.0,1,Electronics,Completed,,NB,Fredericton,39.2,1,2.0,
5518357,500422,66971,9700.0,2022-05-11,81.82,0.0,2,Groceries,Completed,Credit Card,BC,Abbotsford,30.9,1,7.0,
8129809,421517,12340,,2025-01-27,133.54,0.0,2,Groceries,Cancelled,Credit Card,BC,Vancouver,31.9,1,,
1849218,324345,39429,,2025-03-12,28.04,0.0,4,Groceries,Cancelled,Credit Card,ON,Markham,13.0,1,,
7032073,265156,60210,8572.0,2022-10-11,154.13,0.0,4,Electronics,Returned,Interac e-Transfer,NL,St. Johns,5.0,1,,
8936261,793384,58486,,2025-11-04,151.91,0.0,3,Groceries,Completed,Credit Card,SK,Saskatoon,19.1,1,2.0,
9130087,848206,84149,9861.0,2024-12-12,79.02,8.34,2,Groceries,in process,Credit Card,ON,Hamilton,,1,,
